#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue	peak
591	chr1	855746	856864	.	102	.	2.49	13.012	0.000000000000890761	790
591	chr1	873639	874547	.	102	.	2.199	10.638	0.000000000180372	273
591	chr1	875709	877723	.	102	.	2.329	20.694	2.7652e-20	1580
592	chr1	934315	936728	.	102	.	2.154	26.671	3.75297e-26	1176
592	chr1	948584	949123	.	105	.	3.478	17.776	1.98615e-17	258
592	chr1	956385	957164	.	103	.	2.627	12.338	0.00000000000403462	611
592	chr1	994829	995439	.	103	.	2.96	12.653	0.00000000000199696	303
592	chr1	1014742	1015782	.	103	.	2.77	26.679	3.6853e-26	243
593	chr1	1051235	1051981	.	103	.	2.821	19.218	7.70817e-19	237
593	chr1	1166860	1168090	.	104	.	3.248	32.394	8.83422e-32	642
593	chr1	1174106	1175499	.	104	.	3.269	32.351	9.73442e-32	975
594	chr1	1242246	1243281	.	102	.	2.22	11.364	0.0000000000357732	671
594	chr1	1265548	1267025	.	105	.	3.428	52.904	0	974
594	chr1	1283124	1283699	.	102	.	2.456	9.622	0.0000000017301	278
74	chr1	1310177	1311010	.	101	.	2.051	11.436	0.0000000000304904	472
597	chr1	1623807	1624790	.	103	.	2.914	14.787	0.0000000000000165622	319
597	chr1	1690039	1690979	.	107	.	4.551	63.87	0	305
598	chr1	1790760	1791151	.	129	.	13.322	19.057	1.10637e-18	194
599	chr1	1838219	1839090	.	104	.	3.072	10.933	0.0000000000935393	460
600	chr1	2036148	2036923	.	105	.	3.477	19.069	1.07797e-18	536
601	chr1	2126426	2127035	.	103	.	2.683	12.243	0.00000000000499732	306
601	chr1	2139554	2140806	.	106	.	4.022	40.352	1.26951e-39	386
602	chr1	2344880	2346146	.	102	.	2.157	11.478	0.0000000000277484	1035
603	chr1	2466171	2466698	.	112	.	6.31	24.784	2.66211e-24	304
610	chr1	3398425	3399326	.	102	.	2.279	14.324	0.0000000000000469231	636
611	chr1	3419350	3421102	.	104	.	3.281	46.098	2.8026e-45	411
611	chr1	3426519	3427633	.	104	.	3.011	28.013	1.80691e-27	385
611	chr1	3457984	3460636	.	107	.	4.278	127.473	0	2105
611	chr1	3463777	3465277	.	101	.	2.025	14.43	0.000000000000037002	1126
611	chr1	3471397	3472394	.	107	.	4.441	34.195	1.49178e-33	529
612	chr1	3585169	3585904	.	108	.	4.929	40.072	2.40305e-39	374
626	chr1	5484865	5485395	.	123	.	11.001	21.491	4.56356e-21	207
631	chr1	6085201	6086809	.	106	.	4.013	71.03	0	1150
632	chr1	6259424	6260310	.	103	.	2.642	17.147	8.18602e-17	381
632	chr1	6265743	6266782	.	107	.	4.28	45.321	1.54143e-44	377
633	chr1	6316703	6317312	.	113	.	7.004	42.621	7.30497e-42	236
634	chr1	6485897	6487070	.	103	.	2.576	11.828	0.0000000000126635	615
634	chr1	6487327	6488361	.	103	.	2.759	17.462	4.01827e-17	247
634	chr1	6549374	6551908	.	102	.	2.455	27.547	5.17543e-27	719
638	chr1	7020277	7021133	.	134	.	15.434	184.077	0	421
638	chr1	7023368	7024151	.	103	.	2.944	14.214	0.0000000000000600572	223
639	chr1	7177494	7178375	.	104	.	3.009	15.027	0.00000000000000963017	642
640	chr1	7288707	7289230	.	107	.	4.324	13.28	0.000000000000486909	225
640	chr1	7325794	7327125	.	120	.	9.836	93.816	0	452
641	chr1	7373258	7373622	.	110	.	5.551	10.822	0.000000000119923	191
641	chr1	7394993	7395950	.	112	.	6.351	40.544	8.21046e-40	566
641	chr1	7440711	7441211	.	127	.	12.656	35.073	2.03458e-34	310
641	chr1	7461803	7462645	.	122	.	10.626	39.11	2.13222e-38	196
642	chr1	7529289	7529867	.	105	.	3.501	11.903	0.0000000000106962	208
642	chr1	7530764	7532171	.	105	.	3.782	38.014	2.56857e-37	321
642	chr1	7586537	7587227	.	115	.	7.58	49.238	0	273
643	chr1	7609248	7610583	.	124	.	11.509	122.158	0	310
