#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue	peak
74	chr1	1310504	1311051	.	113	.	4.975	43.056	1.05868e-41	334
177	chr1	109968447	109969488	.	117	.	6.008	73.686	0	640
590	chr1	762507	763068	.	161	.	16.601	61.999	0	365
593	chr1	1174971	1175555	.	115	.	5.546	29.139	6.81914e-28	371
595	chr1	1342385	1343138	.	147	.	13.238	155.462	0	313
597	chr1	1655630	1656000	.	119	.	6.453	20.438	2.83587e-19	190
612	chr1	3663593	3664165	.	137	.	10.773	39.373	4.77562e-38	332
613	chr1	3712636	3713391	.	121	.	7.002	59.181	0	461
632	chr1	6259522	6259997	.	152	.	14.361	139.237	0	230
636	chr1	6761344	6762169	.	128	.	8.558	108.544	0	531
640	chr1	7315655	7316009	.	146	.	13.101	13.705	0.00000000000117645	183
641	chr1	7361028	7361731	.	126	.	8.258	31.702	1.96466e-30	188
643	chr1	7609069	7609653	.	211	.	28.779	102.72	0	323
643	chr1	7614327	7614719	.	139	.	11.315	17.736	1.31608e-16	163
646	chr1	8013882	8014570	.	111	.	4.41	25.761	1.5418e-24	389
664	chr1	10448158	10448684	.	130	.	9.034	14.174	0.000000000000410609	165
664	chr1	10458644	10459282	.	118	.	6.283	61.129	0	292
665	chr1	10534728	10535523	.	147	.	13.311	129.23	0	242
671	chr1	11322654	11323048	.	115	.	5.543	19.482	2.48114e-18	208
675	chr1	11862610	11863625	.	131	.	9.279	79.363	0	224
678	chr1	12289780	12290243	.	154	.	15.005	103.994	0	243
708	chr1	16126550	16127253	.	121	.	6.865	43.272	6.48381e-42	256
717	chr1	17380347	17380785	.	108	.	3.784	13.429	0.00000000000218692	246
745	chr1	20987730	20988156	.	128	.	8.541	32.104	7.85341e-31	200
780	chr1	25559549	25559916	.	123	.	7.375	15.02	0.0000000000000609872	160
782	chr1	25877231	25877805	.	122	.	7.291	14.773	0.00000000000010691	397
797	chr1	27816950	27817354	.	111	.	4.458	13.917	0.000000000000729664	183
797	chr1	27896015	27896719	.	108	.	3.85	11.252	0.00000000029245	466
801	chr1	28414266	28415385	.	142	.	11.951	152.65	0	871
810	chr1	29508448	29508927	.	130	.	9.099	62.952	0	245
834	chr1	32687774	32688395	.	113	.	5.006	33.105	7.92753e-32	192
835	chr1	32859671	32860504	.	133	.	9.777	74.643	0	384
838	chr1	33282564	33283248	.	146	.	13.02	163.657	0	466
840	chr1	33502275	33502882	.	119	.	6.434	51.955	0	220
854	chr1	35324660	35325651	.	103	.	2.592	12.508	0.0000000000173985	794
859	chr1	36022554	36023566	.	123	.	7.317	111.456	0	727
861	chr1	36235572	36236005	.	109	.	3.93	14.429	0.000000000000231568	249
866	chr1	36929692	36930252	.	159	.	16.233	166.561	0	319
875	chr1	38019289	38020150	.	145	.	12.695	110.28	0	638
889	chr1	39857741	39858119	.	210	.	28.451	23.775	1.41067e-22	198
898	chr1	41067644	41067981	.	145	.	12.671	11.021	0.00000000048741	150
911	chr1	42800590	42801212	.	108	.	3.788	23.397	3.32768e-22	312
914	chr1	43123713	43124905	.	133	.	9.745	130.536	0	375
919	chr1	43855217	43855988	.	125	.	7.937	58.607	0	318
924	chr1	44435299	44436074	.	148	.	13.435	120.997	0	229
925	chr1	44678883	44679839	.	109	.	3.992	28.352	4.1305e-27	190
926	chr1	44820594	44821281	.	119	.	6.5	62.404	0	352
929	chr1	45097281	45097900	.	104	.	2.777	13.596	0.00000000000150163	319
931	chr1	45452053	45452646	.	142	.	12.1	138.069	0	296
941	chr1	46712758	46713664	.	132	.	9.531	108.595	0	585
952	chr1	48109893	48110244	.	142	.	11.983	11.815	0.0000000000828295	159
982	chr1	52113925	52114314	.	127	.	8.483	16.509	0.00000000000000213925	192
