chomossome 	 position1 	 position2 	 GenomeBrowser 	 mean 	 standart Devitation
chr1:	1174294	1174971	chr1:1174294-1174971	224	146.5
chr1:	1310196	1310504	chr1:1310196-1310504	189	145.0
chr1:	7609318	7609069	chr1:7609069-7609318	175	148.0
chr1:	7611042	7609069	chr1:7609069-7611042	171	152.0
chr1:	11862359	11862610	chr1:11862359-11862610	136	88.0
chr1:	16125455	16126550	chr1:16125455-16126550	194	61.5
chr1:	25875783	25877231	chr1:25875783-25877231	218	178.5
chr1:	29507748	29508448	chr1:29507748-29508448	160	84.5
chr1:	33282555	33282564	chr1:33282555-33282564	254	211.5
chr1:	45096942	45097281	chr1:45096942-45097281	178	140.5
chr1:	54953549	54953970	chr1:54953549-54953970	115	80.5
chr1:	91586606	91586718	chr1:91586606-91586718	217	166.0
chr1:	101360114	101360328	chr1:101360114-101360328	238	214.0
chr1:	154945951	154946155	chr1:154945951-154946155	381	352.0
chr1:	168147951	168147806	chr1:168147806-168147951	181	127.0
chr1:	168270811	168271020	chr1:168270811-168271020	179	146.0
chr1:	169336810	169336855	chr1:169336810-169336855	274	241.5
chr1:	178062617	178062315	chr1:178062315-178062617	290	189.0
chr1:	185125402	185125975	chr1:185125402-185125975	170	103.5
chr1:	211848432	211848812	chr1:211848432-211848812	241	212.0
chr1:	222884471	222885971	chr1:222884471-222885971	328	304.0
chr1:	236958099	236958183	chr1:236958099-236958183	150	45.5
chr2:	1597302	1599048	chr2:1597302-1599048	211	176.5
chr2:	9842832	9843569	chr2:9842832-9843569	218	167.5
chr2:	26957976	26958816	chr2:26957976-26958816	175	149.0
chr2:	27886038	27886173	chr2:27886038-27886173	281	254.5
chr2:	32581568	32581685	chr2:32581568-32581685	295	268.0
chr2:	136971857	136971407	chr2:136971407-136971857	110	88.0
chr2:	151232977	151233154	chr2:151232977-151233154	107	74.0
chr2:	152265974	152266129	chr2:152265974-152266129	124	98.5
chr2:	153573795	153573407	chr2:153573407-153573795	369	183.5
chr2:	187350422	187350573	chr2:187350422-187350573	200	166.5
chr2:	204103488	204103374	chr2:204103374-204103488	152	94.0
chr3:	24493081	24493064	chr3:24493064-24493081	144	104.5
chr3:	37284478	37284551	chr3:37284478-37284551	381	257.5
chr3:	39424711	39424634	chr3:39424634-39424711	162	50.5
chr3:	48955662	48955904	chr3:48955662-48955904	204	178.5
chr3:	100120390	100119310	chr3:100119310-100120390	404	312.5
chr3:	157827190	157827561	chr3:157827190-157827561	188	93.0
chr3:	187672704	187672843	chr3:187672704-187672843	253	240.5
chr3:	194053707	194053263	chr3:194053263-194053707	252	216.5
chr4:	41348572	41348522	chr4:41348522-41348572	180	151.5
chr5:	1800553	1801151	chr5:1800553-1801151	217	143.0
chr5:	10249504	10250169	chr5:10249504-10250169	152	112.0
chr5:	78907840	78907804	chr5:78907804-78907840	241	225.5
chr5:	134469591	134469562	chr5:134469562-134469591	137	91.0
chr5:	137515912	137514161	chr5:137514161-137515912	249	230.0
chr5:	139022545	139022376	chr5:139022376-139022545	155	99.0
chr5:	141212507	141211721	chr5:141211721-141212507	106	80.5
chr5:	149379701	149379930	chr5:149379701-149379930	173	133.5
chr5:	149501504	149501534	chr5:149501504-149501534	185	152.0
chr5:	149543078	149543146	chr5:149543078-149543146	196	154.0
chr5:	168026744	168027395	chr5:168026744-168027395	139	49.0
chr5:	176249110	176250113	chr5:176249110-176250113	157	132.5
chr6:	10403485	10404656	chr6:10403485-10404656	137	91.5
chr6:	13711566	13712234	chr6:13711566-13712234	140	53.0
chr6:	16683873	16683956	chr6:16683873-16683956	104	80.0
chr6:	26537510	26538235	chr6:26537510-26538235	220	113.5
chr6:	36853398	36853445	chr6:36853398-36853445	135	98.5
chr6:	41747329	41747535	chr6:41747329-41747535	128	80.5
chr6:	44021846	44021434	chr6:44021434-44021846	386	281.5
chr6:	52379278	52379260	chr6:52379260-52379278	133	103.0
chr7:	6048310	6048466	chr7:6048310-6048466	211	169.5
chr7:	36087699	36088500	chr7:36087699-36088500	102	76.5
chr7:	44678593	44679354	chr7:44678593-44679354	182	82.5
chr7:	72935509	72936419	chr7:72935509-72936419	230	147.0
chr7:	100761655	100760764	chr7:100760764-100761655	131	115.5
chr7:	116592829	116594114	chr7:116592829-116594114	186	145.5
chr7:	131270687	131271645	chr7:131270687-131271645	403	356.0
chr7:	144532650	144532798	chr7:144532650-144532798	190	133.0
chr7:	158648938	158648840	chr7:158648840-158648938	188	158.0
chr8:	23398140	23396380	chr8:23396380-23398140	249	148.5
chr8:	42697806	42697856	chr8:42697806-42697856	357	276.0
chr8:	101494332	101494395	chr8:101494332-101494395	89	62.5
chr8:	125641800	125643189	chr8:125641800-125643189	120	101.0
chr8:	128755191	128753858	chr8:128753858-128755191	104	85.5
chr8:	145010441	145011595	chr8:145010441-145011595	240	192.0
chr9:	132250660	132251059	chr9:132250660-132251059	146	109.0
chr9:	16704709	16705210	chr9:16704709-16705210	141	86.5
chr9:	33165518	33165521	chr9:33165518-33165521	190	169.0
chr9:	33166658	33165521	chr9:33165521-33166658	207	151.5
chr9:	100904531	100904360	chr9:100904360-100904531	208	170.5
chr9:	123492926	123492959	chr9:123492926-123492959	98	69.0
chr9:	125693227	125693394	chr9:125693227-125693394	260	204.5
chr9:	128002997	128002950	chr9:128002950-128002997	523	429.5
chr9:	134376294	134378122	chr9:134376294-134378122	128	97.5
chr9:	137345878	137346216	chr9:137345878-137346216	362	117.5
chr9:	139776055	139776953	chr9:139776055-139776953	217	116.5
chr9:	139838270	139838850	chr9:139838270-139838850	216	126.0
chr9:	140512321	140512443	chr9:140512321-140512443	382	285.5
chrX:	13685880	13687459	chrX:13685880-13687459	101	69.5
chrX:	40869029	40869259	chrX:40869029-40869259	152	130.0
chrX:	153774799	153775428	chrX:153774799-153775428	230	151.5
chr10:	72475664	72475573	chr10:72475573-72475664	115	95.0
