chomossome 	 position1 	 position2 	 GenomeBrowser 	 mean 	 standart Devitation
chr1:	1174106	1174971	chr1:1174106-1174971	234	137.0
chr1:	1310177	1310504	chr1:1310177-1310504	190	143.5
chr1:	6259424	6259522	chr1:6259424-6259522	134	96.0
chr1:	7609248	7609069	chr1:7609069-7609248	177	146.0
chr1:	7610987	7609069	chr1:7609069-7610987	175	148.0
chr1:	11862618	11862610	chr1:11862610-11862618	124	100.0
chr1:	16125460	16126550	chr1:16125460-16126550	194	62.0
chr1:	25875714	25877231	chr1:25875714-25877231	221	175.5
chr1:	29507596	29508448	chr1:29507596-29508448	168	76.5
chr1:	33282534	33282564	chr1:33282534-33282564	255	210.5
chr1:	45096968	45097281	chr1:45096968-45097281	177	142.0
chr1:	54953479	54953970	chr1:54953479-54953970	119	77.0
chr1:	59347067	59348746	chr1:59347067-59348746	105	76.0
chr1:	91586538	91586718	chr1:91586538-91586718	221	161.5
chr1:	95111887	95111979	chr1:95111887-95111979	66	50.5
chr1:	95113739	95111979	chr1:95111979-95113739	66	50.5
chr1:	101360169	101360328	chr1:101360169-101360328	235	216.5
chr1:	150898573	150898598	chr1:150898573-150898598	126	102.0
chr1:	154945967	154946155	chr1:154945967-154946155	380	353.0
chr1:	156716444	156718229	chr1:156716444-156718229	199	177.5
chr1:	168147965	168147806	chr1:168147806-168147965	180	128.0
chr1:	168270811	168271020	chr1:168270811-168271020	179	146.0
chr1:	169336450	169336855	chr1:169336450-169336855	293	223.0
chr1:	178062313	178062315	chr1:178062313-178062315	304	175.0
chr1:	185125366	185125975	chr1:185125366-185125975	172	102.0
chr1:	202310893	202310802	chr1:202310802-202310893	179	145.5
chr1:	211848312	211848812	chr1:211848312-211848812	245	208.0
chr1:	222884471	222885971	chr1:222884471-222885971	329	302.5
chr1:	236958071	236958183	chr1:236958071-236958183	150	46.0
chr2:	1597365	1599048	chr2:1597365-1599048	206	181.5
chr2:	9842864	9843569	chr2:9842864-9843569	219	167.0
chr2:	26957900	26958816	chr2:26957900-26958816	180	143.5
chr2:	27886029	27886173	chr2:27886029-27886173	282	253.5
chr2:	32581542	32581685	chr2:32581542-32581685	296	267.0
chr2:	43334006	43333919	chr2:43333919-43334006	105	89.5
chr2:	70528368	70528127	chr2:70528127-70528368	199	122.0
chr2:	151232990	151233154	chr2:151232990-151233154	106	75.0
chr2:	152265894	152266129	chr2:152265894-152266129	128	94.5
chr2:	153573535	153573407	chr2:153573407-153573535	382	170.5
chr2:	187350383	187350573	chr2:187350383-187350573	203	164.0
chr2:	204103375	204103374	chr2:204103374-204103375	158	87.5
chr3:	24493074	24493064	chr3:24493064-24493074	144	105.0
chr3:	37284505	37284551	chr3:37284505-37284551	381	258.0
chr3:	39424683	39424634	chr3:39424634-39424683	167	46.0
chr3:	48955663	48955904	chr3:48955663-48955904	204	178.5
chr3:	49202735	49203591	chr3:49202735-49203591	169	47.5
chr3:	52096499	52095530	chr3:52095530-52096499	103	79.5
chr3:	55523251	55521540	chr3:55521540-55523251	198	131.5
chr3:	142719939	142720030	chr3:142719939-142720030	187	145.0
chr3:	157827207	157827561	chr3:157827207-157827561	185	95.5
chr3:	187672646	187672843	chr3:187672646-187672843	256	238.0
chr3:	194053594	194053263	chr3:194053263-194053594	259	210.0
chr4:	667942	667840	chr4:667840-667942	133	113.5
chr4:	6988019	6988317	chr4:6988019-6988317	310	263.5
chr4:	41348406	41348522	chr4:41348406-41348522	187	144.5
chr4:	144105620	144105711	chr4:144105620-144105711	230	153.5
chr4:	190861230	190861394	chr4:190861230-190861394	331	265.0
chr5:	443467	443500	chr5:443467-443500	105	82.5
chr5:	1799840	1801151	chr5:1799840-1801151	257	103.0
chr5:	10249467	10250169	chr5:10249467-10250169	154	110.0
chr5:	78907714	78907804	chr5:78907714-78907804	248	219.0
chr5:	114961312	114961183	chr5:114961183-114961312	332	279.0
chr5:	134469519	134469562	chr5:134469519-134469562	141	86.5
chr5:	137515902	137514161	chr5:137514161-137515902	249	230.0
chr5:	139022557	139022376	chr5:139022376-139022557	154	99.5
chr5:	141210486	141211721	chr5:141210486-141211721	102	84.5
chr5:	141212494	141211721	chr5:141211721-141212494	107	79.5
chr5:	149379651	149379930	chr5:149379651-149379930	175	132.0
chr5:	149501407	149501534	chr5:149501407-149501534	189	148.0
chr5:	149543185	149543146	chr5:149543146-149543185	190	160.0
chr5:	168026556	168027395	chr5:168026556-168027395	148	40.0
chr5:	176249069	176250113	chr5:176249069-176250113	163	127.0
chr6:	10403565	10404656	chr6:10403565-10404656	135	94.0
chr6:	13711557	13712234	chr6:13711557-13712234	140	52.5
chr6:	16683794	16683956	chr6:16683794-16683956	110	74.0
chr6:	26537469	26538235	chr6:26537469-26538235	225	109.0
chr6:	36853398	36853445	chr6:36853398-36853445	133	100.5
chr6:	41747218	41747535	chr6:41747218-41747535	133	76.0
chr6:	44021760	44021434	chr6:44021434-44021760	390	277.5
chr6:	52379211	52379260	chr6:52379211-52379260	134	102.0
chr6:	96025404	96025149	chr6:96025149-96025404	277	217.5
chr7:	6048283	6048466	chr7:6048283-6048466	210	171.0
chr7:	36087702	36088500	chr7:36087702-36088500	101	78.0
chr7:	44678607	44679354	chr7:44678607-44679354	181	83.5
chr7:	72935498	72936419	chr7:72935498-72936419	260	116.5
chr7:	76751246	76751341	chr7:76751246-76751341	214	180.0
chr7:	100761560	100760764	chr7:100760764-100761560	137	109.5
chr7:	102389222	102389136	chr7:102389136-102389222	136	111.5
chr7:	116592824	116594114	chr7:116592824-116594114	187	145.0
chr7:	131270787	131271645	chr7:131270787-131271645	398	361.0
chr7:	144532293	144532798	chr7:144532293-144532798	207	115.5
chr7:	158648926	158648840	chr7:158648840-158648926	189	157.0
chr8:	23398140	23396380	chr8:23396380-23398140	249	148.5
chr8:	42697744	42697856	chr8:42697744-42697856	359	274.0
chr8:	101494334	101494395	chr8:101494334-101494395	91	61.0
chr8:	125641779	125643189	chr8:125641779-125643189	122	98.5
chr8:	128755195	128753858	chr8:128753858-128755195	105	85.0
chr8:	142377245	142379222	chr8:142377245-142379222	217	193.5
chr8:	145010363	145011595	chr8:145010363-145011595	244	188.0
chr9:	16704690	16705210	chr9:16704690-16705210	143	85.0
chr9:	33165463	33165521	chr9:33165463-33165521	196	163.0
chr9:	33166407	33165521	chr9:33165521-33166407	221	138.0
chr9:	100904419	100904360	chr9:100904360-100904419	213	166.0
chr9:	113017341	113018914	chr9:113017341-113018914	203	148.5
chr9:	123492906	123492959	chr9:123492906-123492959	96	71.0
chr9:	125693224	125693394	chr9:125693224-125693394	261	204.0
chr9:	127177128	127176975	chr9:127176975-127177128	402	356.5
chr9:	128003011	128002950	chr9:128002950-128003011	523	430.0
chr9:	133283244	133283393	chr9:133283244-133283393	254	223.0
chr9:	134376311	134378122	chr9:134376311-134378122	128	98.0
chr9:	137345864	137346216	chr9:137345864-137346216	365	114.5
chr9:	137443586	137443341	chr9:137443341-137443586	155	116.5
chr9:	139776071	139776953	chr9:139776071-139776953	220	113.5
chr9:	139838535	139838850	chr9:139838535-139838850	202	140.0
chr9:	140512278	140512443	chr9:140512278-140512443	384	284.0
chrX:	7895123	7895308	chrX:7895123-7895308	262	188.5
chrX:	13685774	13687459	chrX:13685774-13687459	103	68.0
chrX:	40868930	40869259	chrX:40868930-40869259	156	125.5
chrX:	153774711	153775428	chrX:153774711-153775428	236	146.0
chr10:	72475554	72475573	chr10:72475554-72475573	119	91.0
chr10:	81923268	81923472	chr10:81923268-81923472	191	113.0
chr10:	81963342	81962883	chr10:81962883-81963342	190	1.0
chr10:	89577410	89577548	chr10:89577410-89577548	237	199.0
chr10:	92689827	92690795	chr10:92689827-92690795	140	93.5
chr10:	103815164	103815226	chr10:103815164-103815226	181	117.0
chr10:	112155441	112155560	chr10:112155441-112155560	131	108.0
chr10:	119805493	119806192	chr10:119805493-119806192	180	108.5
chr11:	2919636	2919377	chr11:2919377-2919636	395	345.0
chr11:	2961407	2961945	chr11:2961407-2961945	408	299.0
chr11:	10510520	10511591	chr11:10510520-10511591	207	167.0
chr11:	10511727	10511591	chr11:10511591-10511727	232	141.5
chr11:	18609942	18610192	chr11:18609942-18610192	142	102.5
chr11:	33182834	33182657	chr11:33182657-33182834	237	197.5
chr11:	43380288	43380232	chr11:43380232-43380288	132	94.0
chr11:	47270056	47270010	chr11:47270010-47270056	210	172.5
chr11:	47488351	47490255	chr11:47488351-47490255	61	43.5
chr11:	47879479	47879447	chr11:47879447-47879479	105	72.5
chr11:	47959213	47959620	chr11:47959213-47959620	135	83.0
chr11:	62492862	62494699	chr11:62492862-62494699	699	494.5
chr11:	63705319	63706468	chr11:63705319-63706468	259	223.0
chr11:	63753293	63753520	chr11:63753293-63753520	217	165.5
chr11:	64035921	64037295	chr11:64035921-64037295	213	65.0
chr11:	65318349	65318818	chr11:65318349-65318818	443	427.0
chr11:	65381350	65382341	chr11:65381350-65382341	248	204.0
chr11:	65382425	65382341	chr11:65382341-65382425	235	216.5
chr11:	67272399	67273449	chr11:67272399-67273449	187	62.0
chr11:	77348394	77348472	chr11:77348394-77348472	212	172.5
chr11:	118787432	118788392	chr11:118787432-118788392	177	82.0
chr11:	118790026	118788392	chr11:118788392-118790026	164	95.0
chr11:	118888848	118888774	chr11:118888774-118888848	173	142.0
chr11:	134122698	134123123	chr11:134122698-134123123	167	109.5
chr12:	9216773	9217015	chr12:9216773-9217015	371	292.0
chr12:	13023372	13024933	chr12:13023372-13024933	108	89.0
chr12:	13024608	13024933	chr12:13024608-13024933	137	59.5
chr12:	47302198	47302359	chr12:47302198-47302359	126	95.5
chr12:	51441398	51441567	chr12:51441398-51441567	247	214.0
chr12:	53692946	53692997	chr12:53692946-53692997	276	194.5
chr12:	56320629	56320853	chr12:56320629-56320853	479	389.5
chr12:	56511654	56510019	chr12:56510019-56511654	190	163.5
chr12:	56511654	56511725	chr12:56511654-56511725	143	116.0
chr12:	69080316	69080450	chr12:69080316-69080450	152	125.5
chr12:	69863696	69863910	chr12:69863696-69863910	132	95.5
chr12:	75904818	75905055	chr12:75904818-75905055	218	150.0
chr12:	76371348	76371705	chr12:76371348-76371705	122	77.0
chr12:	107167564	107167758	chr12:107167564-107167758	140	108.5
chr12:	110486030	110486200	chr12:110486030-110486200	154	118.0
chr12:	120632088	120632149	chr12:120632088-120632149	213	162.0
chr13:	110132063	110133418	chr13:110132063-110133418	124	48.5
chr13:	114102783	114103326	chr13:114102783-114103326	222	195.0
chr14:	21979169	21978994	chr14:21978994-21979169	305	277.5
chr14:	23235814	23235667	chr14:23235667-23235814	119	74.5
chr14:	24700821	24700790	chr14:24700790-24700821	531	477.5
chr14:	31888995	31889287	chr14:31888995-31889287	364	287.0
chr14:	61942992	61943377	chr14:61942992-61943377	201	146.0
chr14:	69042821	69043275	chr14:69042821-69043275	125	62.5
chr14:	69086563	69086981	chr14:69086563-69086981	81	65.5
chr14:	74416481	74416585	chr14:74416481-74416585	179	154.0
chr14:	75354919	75354867	chr14:75354867-75354919	98	79.0
chr14:	105330411	105330668	chr14:105330411-105330668	236	200.0
chr15:	22525960	22526737	chr15:22525960-22526737	294	227.5
chr15:	34517022	34516925	chr15:34516925-34517022	119	96.5
chr15:	40384577	40384579	chr15:40384577-40384579	225	127.0
chr15:	41408477	41408328	chr15:41408328-41408477	188	147.0
chr15:	48104721	48104862	chr15:48104721-48104862	142	123.0
chr15:	48622957	48623153	chr15:48622957-48623153	256	201.5
chr15:	59980840	59980787	chr15:59980787-59980840	413	322.5
chr15:	67134093	67135260	chr15:67134093-67135260	157	29.5
chr15:	90436734	90436817	chr15:90436734-90436817	238	207.0
chr15:	101834439	101835024	chr15:101834439-101835024	286	228.5
chr16:	679295	679492	chr16:679295-679492	270	235.5
chr16:	1132244	1132194	chr16:1132194-1132244	198	133.0
chr16:	4400824	4400708	chr16:4400708-4400824	323	284.5
chr16:	27214657	27214418	chr16:27214418-27214657	219	173.5
chr16:	30933821	30933648	chr16:30933648-30933821	191	114.5
chr16:	47006403	47006506	chr16:47006403-47006506	622	493.5
chr16:	71021252	71020895	chr16:71020895-71021252	134	114.5
chr16:	85044817	85044556	chr16:85044556-85044817	317	275.5
chr16:	85950129	85950049	chr16:85950049-85950129	105	88.0
chr16:	86421156	86420987	chr16:86420987-86421156	96	77.5
chr16:	86458467	86458607	chr16:86458467-86458607	146	115.5
chr17:	2863348	2863555	chr17:2863348-2863555	182	157.5
chr17:	6374611	6373924	chr17:6373924-6374611	131	78.5
chr17:	17742810	17743544	chr17:17742810-17743544	191	33.0
chr17:	18217230	18217899	chr17:18217230-18217899	367	328.0
chr17:	26662142	26662090	chr17:26662090-26662142	244	193.5
chr17:	27481383	27482170	chr17:27481383-27482170	273	166.5
chr17:	36740531	36741422	chr17:36740531-36741422	148	126.0
chr17:	40715407	40713903	chr17:40713903-40715407	141	111.0
chr17:	41560808	41560991	chr17:41560808-41560991	194	159.0
chr17:	42147679	42147802	chr17:42147679-42147802	148	61.5
chr17:	42312105	42312954	chr17:42312105-42312954	86	65.5
chr17:	66379437	66379494	chr17:66379437-66379494	153	123.0
chr17:	71284667	71284730	chr17:71284667-71284730	204	162.5
chr17:	76123199	76123224	chr17:76123199-76123224	117	94.0
chr17:	79105194	79107013	chr17:79105194-79107013	202	130.5
chr17:	79106535	79107013	chr17:79106535-79107013	180	152.5
chr17:	79883850	79884165	chr17:79883850-79884165	262	175.0
chr18:	2980435	2981072	chr18:2980435-2981072	121	102.0
chr18:	9825456	9827398	chr18:9825456-9827398	139	112.0
chr18:	9827833	9827398	chr18:9827398-9827833	149	101.5
chr18:	54318260	54318241	chr18:54318241-54318260	355	294.0
chr19:	1268670	1269869	chr19:1268670-1269869	123	90.5
chr19:	2950340	2950047	chr19:2950047-2950340	327	279.5
chr19:	11641090	11639489	chr19:11639489-11641090	253	224.0
chr19:	12551422	12551612	chr19:12551422-12551612	113	70.0
chr19:	13228648	13228722	chr19:13228648-13228722	135	109.0
chr19:	14191898	14191711	chr19:14191711-14191898	256	209.5
chr19:	15543428	15543372	chr19:15543372-15543428	152	128.5
chr19:	35167878	35167721	chr19:35167721-35167878	261	213.0
chr19:	36485854	36485866	chr19:36485854-36485866	121	70.0
chr19:	42746582	42746752	chr19:42746582-42746752	163	124.5
chr19:	42746582	42748271	chr19:42746582-42748271	262	223.5
chr19:	44100026	44100447	chr19:44100026-44100447	290	256.5
chr19:	49410801	49410911	chr19:49410801-49410911	107	86.0
chr19:	50143150	50144944	chr19:50143150-50144944	192	97.0
chr19:	50886822	50887121	chr19:50886822-50887121	251	210.0
chr20:	47447805	47448214	chr20:47447805-47448214	145	94.0
chr20:	16710125	16710363	chr20:16710125-16710363	141	101.5
chr20:	30160219	30160163	chr20:30160163-30160219	290	218.5
chr20:	30945189	30945726	chr20:30945189-30945726	153	134.5
chr20:	33113524	33113825	chr20:33113524-33113825	127	87.5
chr20:	37590196	37590727	chr20:37590196-37590727	181	106.0
chr20:	42838629	42839157	chr20:42838629-42839157	169	107.0
chr20:	48948353	48949000	chr20:48948353-48949000	162	66.5
chr20:	52739708	52740171	chr20:52739708-52740171	121	77.0
chr20:	60757498	60757647	chr20:60757498-60757647	223	197.0
chr21:	44598118	44596632	chr21:44596632-44598118	427	390.0
chr21:	46738568	46738702	chr21:46738568-46738702	192	83.5
chr22:	20104489	20104719	chr22:20104489-20104719	147	108.5
chr22:	25364031	25362213	chr22:25362213-25364031	112	86.0
chr22:	31364555	31365196	chr22:31364555-31365196	136	88.0
chr22:	40393903	40394850	chr22:40393903-40394850	293	268.0
chr22:	43484891	43485189	chr22:43484891-43485189	172	111.0
