chromossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation 	 genes in window
chr1:	7609318	7609289	7609069	chr1:7609069-7609318	204	127.61	EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53
chr1:	7611042	7609289	7609069	chr1:7609069-7611042	201	131.31	EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53
chr11:	33182839	33182953	33182657	chr11:33182657-33182953	247	161.39	ITGB1,CRTAP,HSD17B8,CSTF3-AS1,SUSD5,RING1,CSTF3,MIR219-1,NUDT19
chr7:	100761655	100760712	100760764	chr7:100760712-100761655	144	96.13	RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1
chr7:	100761655	100761664	100760764	chr7:100760764-100761664	139	94.9	RTCA,SLC17A8,ARMCX4,AFF3,SLC25A29,SERPINE1
chr1:	16125455	16126620	16126550	chr1:16125455-16126620	185	51.98	MYLIP,UQCRHL,PIGL,ISPD,LINC00661,NCOR1
chr11:	47879463	47877723	47879447	chr11:47877723-47879463	144	76.4	DHX34,DIP2A-IT1,NUP160,DIP2A,FOXE3,SPACA5B,SPACA5
chr11:	47879463	47879213	47879447	chr11:47879213-47879463	270	235.34	NUP160,DIP2A,DHX34,DIP2A-IT1,FOXE3
chr11:	47959382	47959430	47959620	chr11:47959382-47959620	182	106.77	SSX6,DIP2A,FAM21B
chr11:	64035924	64037379	64037295	chr11:64035924-64037379	234	63.89	LOC100128885,LGSN,PLCB3,RTKN2,EFCAB7,LOC641746,BAD
chr7:	144532650	144533082	144532798	chr7:144532650-144533082	217	115.11	TPK1,ARHGAP15
chr11:	65381411	65382590	65382341	chr11:65381411-65382590	227	172.66	MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,KBTBD13,HEPH,CHURC1-FNTB
chr11:	65382454	65382590	65382341	chr11:65382341-65382590	223	177.99	MAP3K11,UBAP1L,ERBB2IP,PCNXL3,PITPNC1,REEP3,CHURC1,HEPH,CHURC1-FNTB
chr16:	86421134	86421060	86420987	chr16:86420987-86421134	117	63.75	MIR4779,MRPL35,IMMT
chr1:	33282555	33282923	33282564	chr1:33282555-33282923	202	187.6	HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1
chr1:	33282555	33283770	33282564	chr1:33282555-33283770	221	179.07	HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1
chr3:	187672704	187672503	187672843	chr3:187672503-187672843	425	312.43	
chr17:	2863341	2863425	2863555	chr17:2863341-2863555	170	129.81	PTPRA,MICB,MGC39372,MIR4645,LST1,AIF1,ZNF556,PRSS41,ATP6V1G2-DDX39B,KCNQ1,NFKBIL1,LOC283440,ZNF555,PRSS21,NCR3,LINC00278,LTB,ATP6V1G2,TNF,LTA
chr17:	6374575	6374914	6373924	chr17:6373924-6374914	153	69.33	MIR4317,PSPN,LOC399715,GTF2F1,CLPP,MED10,ALKBH7,PPP2R2C,FAM220A
chr8:	23398140	23396475	23396380	chr8:23396380-23398140	237	122.53	HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23
chr8:	23398140	23398463	23396380	chr8:23396380-23398463	319	156.68	HERC2P7,RTDR1,ZNF724P,PRMT5,COG7,SCNN1B,NAPB,RBM23
chr3:	194053707	194053731	194053263	chr3:194053263-194053731	276	179.96	CPN2
chr17:	26662118	26662429	26662090	chr17:26662090-26662429	239	157.08	TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97
chr17:	26662118	26663195	26662090	chr17:26662090-26663195	258	157.79	TNFAIP1,LRRC3B,IFT20,ZNF322,TMEM97
chr1:	91586606	91586063	91586718	chr1:91586063-91586718	200	137.65	SNORA11B,DCN,LINC00410,LINC00865,C14orf159
chr17:	40715370	40714013	40713903	chr17:40713903-40715370	145	87.78	TTC9B,TMCO2,HSD17B1,IVD,ZMPSTE24,MLX,TTC33,RLF,MAP3K10,FAM74A3,COASY,HMGN1,SPATA31A3,PSMC3IP
chr17:	41560879	41560823	41560991	chr17:41560823-41560991	269	171.77	ELF1,DHX8,MIR4641,FOXP4,GPR34
chr1:	101360114	101361011	101360328	chr1:101360114-101361011	266	179.16	RTL1,EXTL2,NALCN-AS1,SLC25A28,ZBTB11,MIR136,SLC30A7,MIR432,MEG8
chr12:	13024970	13023303	13024933	chr12:13023303-13024970	164	90.03	FARSA,SYCE2,RPL13AP20,RASSF10chr8:	101494332	101494455	101494395	chr8:101494332-101494455	130	77.42	MIR543,NXF2B,CUTC,MIR379,CEP97,MIR380,NXF2,COX15,MIR323A,NXPE3,MIR758,DPH5,MIR329-1,MIR1193,MIR411,ANKS6,MIR1197,MIR495,MIR299,MIR329-2,MIR494

chr12:	13024970	13024982	13024933	chr12:13024933-13024982	175	101.63	FARSA,SYCE2,RPL13AP20,RASSF10
chr17:	42311996	42313002	42312954	chr17:42311996-42313002	104	52.63	SHISA8,HIVEP3,SREBF2,CCK,CEACAM3,TNFRSF13C
chr8:	125641800	125641891	125643189	chr8:125641800-125643189	188	127.4	CPXM2,PATE2,ALG1L,ANKRD50,SNORD90,FAM86JP
chr8:	128755191	128753807	128753858	chr8:128753807-128755191	266	239.73	HSPA4L,TMEM132C,KCNJ5,MYC,EFCC1
chr5:	1800553	1800059	1801151	chr5:1800059-1801151	187	124.23	TRIM39,HCG17,FGFR3,ADIPOR2,TRIM39-RPP21,HCG18,HLA-E,RPA1,GNL1,MYT1L,MRPL36,NDUFS6
chr1:	154945951	154944835	154946155	chr1:154944835-154946155	404	289.29	CKS1B,FLAD1,MIR4258,SHC1
chr1:	154945951	154946036	154946155	chr1:154945951-154946155	308	305.23	CKS1B,FLAD1,MIR4258,SHC1
chr17:	66379463	66379508	66379494	chr17:66379463-66379508	141	103.29	TMEM248,CCS,RBM14-RBM4,RBM14,TMX3,CCDC102B
chr17:	71284687	71284801	71284730	chr17:71284687-71284801	253	149.36	KRTAP5-11,C6orf57,KRTAP5-10,MAP3K9,PROL1,CDC42EP4,FOXP1
chr9:	132250660	132250873	132251059	chr9:132250660-132251059	295	229.18	DNAJC13,LOC150776,MIR4784,LINC00963,MZT2A
chr12:	56321040	56321646	56320853	chr12:56320853-56321646	328	382.26	DGKA,WIBG,LPO,KLF8,DST
chr1:	168147951	168147708	168147806	chr1:168147708-168147951	204	108.96	TIPRL,SPOCK3
chr1:	168270811	168270838	168271020	chr1:168270811-168271020	181	119.27	MIR551B
chr9:	16704709	16704909	16705210	chr9:16704709-16705210	243	160.4	LMO3,USP32P1,SNRPB2
chr12:	69080271	69079894	69080450	chr12:69079894-69080450	308	239.4	PGM5P2,LOC100507250,EDA,NUP107,FTLP10,ANP32A,TMPRSS11BNL
chr12:	76371506	76371565	76371705	chr12:76371506-76371705	170	104.86	LRRC32,SNORA47,MSH4,ZBED3,PGS1
chr9:	33165518	33165259	33165521	chr9:33165259-33165521	216	143.05	BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,MIR3975,PDS5B,RXRB,LINC00486,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68
chr9:	33166658	33165259	33165521	chr9:33165259-33166658	228	127.16	BBS9,CRTAP,COL11A2,HSD17B8,LTBP1,LOC100271832,SLC39A7,CSTF3,RING1,MIR3975,PDS5B,RXRB,LINC00486,MIR219-1,SYNC,ANKRD27,RGS9BP,B4GALT1,C10orf68
chr18:	9825456	9825401	9827398	chr18:9825401-9827398	175	105.6	PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3
chr18:	9827818	9827500	9827398	chr18:9827398-9827818	419	388.63	PAK7,SBF2-AS1,SLC2A9,CLEC2D,MIR3648,ARPC4,MIR3687,ARPC4-TTLL3,TADA3
chr5:	78907840	78907816	78907804	chr5:78907804-78907840	198	193.83	CHRNA3,PAPD4,CHRNB4
