#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue	peak
592	chr1	1004569	1004907	.	161	.	16.528	11.529	0.000000000289218	170
593	chr1	1167390	1167789	.	319	.	54.728	30.664	7.2746e-29	188
594	chr1	1243699	1244141	.	152	.	14.434	11.8	0.0000000001589	217
594	chr1	1259852	1260226	.	161	.	16.572	13.982	0.00000000000123305	196
596	chr1	1447335	1447710	.	168	.	18.243	17.495	4.78226e-16	186
596	chr1	1550508	1551264	.	158	.	15.904	29.838	4.57901e-28	199
598	chr1	1709725	1710090	.	143	.	12.162	10.495	0.00000000290987	194
602	chr1	2322950	2323292	.	141	.	11.642	11.549	0.000000000277323	170
604	chr1	2574450	2574812	.	434	.	82.326	11.884	0.000000000132606	169
613	chr1	3773606	3774240	.	301	.	50.251	50.049	0	242
632	chr1	6259539	6259882	.	136	.	10.603	10.233	0.00000000520202	147
633	chr1	6295851	6296232	.	238	.	35.082	18.582	4.2245e-17	190
646	chr1	8021523	8021956	.	148	.	13.378	30.022	3.03221e-28	189
653	chr1	8939234	8939713	.	126	.	8.212	14.028	0.00000000000111116	181
657	chr1	9488762	9489288	.	175	.	19.802	29.196	1.93238e-27	199
82	chr1	10092451	10093045	.	139	.	11.151	14.015	0.00000000000114353	441
665	chr1	10490387	10490940	.	275	.	43.97	24.018	2.16145e-22	373
670	chr1	11159754	11160130	.	203	.	26.709	18.582	4.22097e-17	193
708	chr1	16160322	16161102	.	112	.	4.645	9.225	0.000000047856	620
708	chr1	16162163	16162777	.	199	.	25.691	86.742	0	299
708	chr1	16173841	16174262	.	192	.	23.949	30.462	1.1327e-28	223
709	chr1	16302431	16302940	.	213	.	29.051	72.436	0	240
711	chr1	16563512	16564289	.	119	.	6.519	16.954	0.00000000000000161093	197
712	chr1	16678804	16679628	.	130	.	8.999	18.269	8.48675e-17	189
712	chr1	16693451	16693915	.	140	.	11.36	16.946	0.00000000000000163231	220
714	chr1	16939815	16940515	.	178	.	20.72	69.311	0	285
714	chr1	16970762	16971498	.	134	.	10.006	23.208	1.34085e-21	485
717	chr1	17380495	17380914	.	207	.	27.598	28.674	6.30939e-27	226
734	chr1	19536753	19537230	.	127	.	8.37	14.895	0.000000000000161316	217
739	chr1	20208674	20209023	.	138	.	10.959	8.331	0.000000340526	197
744	chr1	20959741	20960370	.	162	.	16.839	15.853	0.0000000000000189625	189
746	chr1	21113118	21113541	.	263	.	41.163	40.154	3.78747e-38	227
753	chr1	22109484	22109905	.	119	.	6.499	10.278	0.00000000470298	233
755	chr1	22378837	22379221	.	158	.	15.717	18.267	8.51897e-17	193
765	chr1	23694738	23695539	.	164	.	17.159	26.621	6.27718e-25	227
768	chr1	24104475	24105054	.	144	.	12.474	16.384	0.00000000000000575231	400
770	chr1	24306766	24307175	.	177	.	20.507	63.322	0	207
773	chr1	24742053	24742498	.	130	.	8.939	8.165	0.000000490175	126
775	chr1	24969422	24969970	.	194	.	24.448	46.522	2.10195e-44	226
776	chr1	25071355	25071679	.	148	.	13.409	8.857	0.000000107299	170
780	chr1	25566053	25566980	.	124	.	7.591	24.04	2.05948e-22	210
780	chr1	25573712	25574328	.	170	.	18.711	50.235	0	297
784	chr1	26146255	26146595	.	134	.	9.917	10.057	0.00000000768121	161
787	chr1	26560251	26561100	.	142	.	12.04	29.748	5.56981e-28	655
789	chr1	26758547	26758918	.	159	.	16.159	21.273	1.01871e-19	194
791	chr1	27114182	27114762	.	136	.	10.558	14.538	0.000000000000356951	267
795	chr1	27560931	27561299	.	269	.	42.603	19.702	3.43085e-18	173
799	chr1	28099439	28099882	.	160	.	16.179	31.959	3.84155e-30	254
800	chr1	28240997	28241415	.	142	.	11.85	15.326	0.0000000000000615721	179
801	chr1	28415060	28415361	.	175	.	19.99	11.007	0.000000000927851	142
803	chr1	28655255	28655625	.	140	.	11.434	22.018	1.90991e-20	179
803	chr1	28695714	28696253	.	155	.	14.968	25.488	8.00502e-24	342
804	chr1	28832136	28832676	.	119	.	6.386	24.153	1.59512e-22	318
805	chr1	28844556	28845240	.	133	.	9.749	18.434	5.8858e-17	198
805	chr1	28879300	28879687	.	160	.	16.216	22.854	2.93746e-21	191
806	chr1	28969482	28969855	.	130	.	8.954	12.297	0.0000000000526733	192
823	chr1	31297039	31297521	.	167	.	18.009	17.22	8.84395e-16	291
832	chr1	32479080	32479631	.	429	.	81.172	100.035	0	260
834	chr1	32671032	32671404	.	135	.	10.346	17.843	2.20397e-16	190
838	chr1	33225521	33226173	.	200	.	26.051	44.409	2.52094e-42	453
840	chr1	33430294	33430687	.	260	.	40.529	26.034	2.3519e-24	186
855	chr1	35497014	35497738	.	141	.	11.694	20.142	1.29304e-18	543
856	chr1	35544557	35545119	.	227	.	32.51	34.65	9.26648e-33	372
857	chr1	35733901	35734465	.	232	.	33.679	41.25	3.16911e-39	366
862	chr1	36348617	36348960	.	159	.	16.038	13.434	0.00000000000418338	182
864	chr1	36599124	36599496	.	246	.	36.953	19.721	3.28987e-18	195
864	chr1	36614915	36615420	.	181	.	21.432	29.899	4.0117e-28	198
866	chr1	36840185	36840580	.	142	.	11.975	19.089	1.35527e-17	189
874	chr1	37980248	37980610	.	164	.	17.151	12.071	0.0000000000871729	175
876	chr1	38155975	38156371	.	159	.	15.989	20.999	1.88652e-19	211
885	chr1	39338865	39339344	.	196	.	25.043	42.418	2.25091e-40	194
892	chr1	40349003	40349395	.	275	.	43.97	36.39	1.86162e-34	195
896	chr1	40839096	40839517	.	153	.	14.657	9.918	0.0000000104228	264
897	chr1	40915549	40915902	.	140	.	11.494	8.857	0.000000107214	191
897	chr1	40996897	40997470	.	123	.	7.484	9.168	0.0000000541849	336
901	chr1	41445137	41445581	.	127	.	8.42	8.038	0.00000064637	280
912	chr1	42922021	42922396	.	214	.	29.372	14.799	0.000000000000199264	198
914	chr1	43232573	43233080	.	247	.	37.24	39.812	8.25514e-38	226
919	chr1	43814520	43815080	.	137	.	10.642	17.78	2.53796e-16	184
921	chr1	44115424	44115998	.	143	.	12.234	17.716	2.90644e-16	359
926	chr1	44820917	44821326	.	156	.	15.319	10.99	0.000000000962543	158
937	chr1	46152090	46153048	.	126	.	8.131	41.18	3.71256e-39	245
937	chr1	46216153	46216701	.	162	.	16.723	31.757	6.0509e-30	309
942	chr1	46908133	46908632	.	126	.	8.165	8.788	0.000000123798	239
944	chr1	47069794	47070256	.	173	.	19.334	35.066	3.67361e-33	191
