chomossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation 	 genes in window
chr1:	7609318	7609289	7609069	chr1:7609069-7609318	285	26.71	EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53,EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53
chr1:	7611042	7609289	7609069	chr1:7609069-7611042	260	51.86	EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53,EFNB3,ITIH5,SNRNP48,PNPLA6,MIOS,PPFIBP2,WRAP53
chr1:	16125455	16126620	16126550	chr1:16125455-16126620	584	529.25	MYLIP,UQCRHL,PIGL,ISPD,LINC00661,NCOR1,MYLIP,UQCRHL,PIGL,ISPD,LINC00661,NCOR1
chr1:	33282555	33282923	33282564	chr1:33282555-33282923	331	165.18	HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1,HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1
chr1:	33282555	33283770	33282564	chr1:33282555-33283770	350	139.37	HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1,HIPK3,DAXX,CCT6B,YARS,ZNF830,TAPBP,NFX1,ZBTB22,S100PBP,TDRD12,TP53INP2,CHMP5,GALNT1
chr1:	91586606	91586063	91586718	chr1:91586063-91586718	353	142.4	SNORA11B,DCN,LINC00410,LINC00865,C14orf159,SNORA11B,DCN,LINC00410,LINC00865,C14orf159
chr1:	101360114	101361011	101360328	chr1:101360114-101361011	339	85.43	RTL1,EXTL2,NALCN-AS1,SLC25A28,ZBTB11,MIR136,SLC30A7,MIR432,MEG8,RTL1,EXTL2,NALCN-AS1,SLC25A28,ZBTB11,MIR136,SLC30A7,MIR432,MEG8
chr1:	154945951	154944835	154946155	chr1:154944835-154946155	493	180.54	CKS1B,FLAD1,MIR4258,SHC1,CKS1B,FLAD1,MIR4258,SHC1
chr1:	154945951	154946036	154946155	chr1:154945951-154946155	397	243.35	CKS1B,FLAD1,MIR4258,SHC1,CKS1B,FLAD1,MIR4258,SHC1
chr1:	168147951	168147708	168147806	chr1:168147708-168147951	369	127.92	TIPRL,SPOCK3,TIPRL,SPOCK3
chr1:	168270811	168270838	168271020	chr1:168270811-168271020	281	66.51	MIR551B,MIR551B
