#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue	peak
592	chr1	935024	936567	.	106	.	3.102	29.977	3.02892e-29	482
592	chr1	948592	949288	.	104	.	2.773	8.847	0.000000010352	224
592	chr1	1014792	1015516	.	107	.	3.356	17.932	1.71857e-17	185
593	chr1	1167193	1168073	.	108	.	3.772	19.998	1.70303e-19	308
593	chr1	1174294	1175582	.	111	.	4.314	31.235	1.77891e-30	789
594	chr1	1242304	1243284	.	104	.	2.774	11.864	0.000000000013058	696
594	chr1	1265871	1267028	.	111	.	4.417	38.394	1.70965e-37	639
74	chr1	1310196	1310997	.	102	.	2.268	9.446	0.00000000275366	448
597	chr1	1690040	1690912	.	114	.	5.203	49.201	0	319
599	chr1	1838238	1839093	.	108	.	3.595	9.412	0.00000000297198	487
600	chr1	2036165	2036906	.	106	.	3.205	10.398	0.000000000334927	496
601	chr1	2139452	2140383	.	109	.	4.054	25.373	9.60357e-25	480
603	chr1	2466105	2466705	.	117	.	5.992	16.98	1.44356e-16	312
610	chr1	3398420	3399383	.	104	.	2.592	13.189	0.000000000000688014	632
611	chr1	3419476	3421025	.	108	.	3.701	34.748	6.43736e-34	285
611	chr1	3426634	3427306	.	113	.	4.883	27.965	2.78021e-27	268
611	chr1	3457860	3460792	.	110	.	4.158	82.045	0	1829
611	chr1	3463920	3465343	.	102	.	2.212	11.438	0.0000000000335257	975
611	chr1	3471331	3472316	.	111	.	4.494	21.541	5.31301e-21	589
612	chr1	3585175	3585858	.	115	.	5.311	26.682	4.99593e-26	358
626	chr1	5484912	5485353	.	145	.	13.016	13.705	0.000000000000217978	168
631	chr1	6085251	6085819	.	111	.	4.355	17.523	4.29823e-17	228
631	chr1	6086036	6086809	.	110	.	4.195	30.617	7.1261e-30	306
632	chr1	6265785	6266521	.	110	.	4.263	25.127	1.67639e-24	317
633	chr1	6316727	6317301	.	120	.	6.634	24.238	1.24151e-23	205
634	chr1	6487336	6488358	.	104	.	2.784	11.112	0.0000000000688991	523
634	chr1	6549744	6550353	.	106	.	3.111	11.524	0.0000000000276608	280
638	chr1	7020277	7021130	.	149	.	13.855	98.99	0	417
640	chr1	7325801	7327059	.	130	.	9.272	53.766	0	449
641	chr1	7395030	7395911	.	112	.	4.717	15.643	0.00000000000000287198	523
641	chr1	7440752	7441212	.	159	.	16.479	24.497	6.93083e-24	283
641	chr1	7461810	7462599	.	136	.	10.615	24.192	1.37666e-23	219
642	chr1	7530824	7532144	.	108	.	3.682	21.364	7.93814e-21	255
642	chr1	7586491	7587216	.	124	.	7.67	32.042	2.87594e-31	308
643	chr1	7609318	7610407	.	154	.	15.26	81.872	0	272
643	chr1	7611042	7611574	.	111	.	4.33	13.491	0.00000000000035077	196
646	chr1	8021190	8021983	.	104	.	2.59	16.569	3.61918e-16	375
646	chr1	8077584	8078017	.	176	.	20.574	23.48	6.80128e-23	228
646	chr1	8107676	8108172	.	145	.	12.921	11.549	0.0000000000262222	231
646	chr1	8121211	8121581	.	141	.	11.985	9.971	0.000000000861878	181
647	chr1	8254519	8255434	.	137	.	10.986	21.274	9.7168e-21	599
648	chr1	8264354	8265066	.	138	.	11.147	31.115	2.31455e-30	383
648	chr1	8271898	8272497	.	106	.	3.116	9.019	0.0000000070751	389
648	chr1	8278836	8279260	.	119	.	6.319	8.928	0.00000000866136	192
648	chr1	8317731	8318110	.	134	.	10.187	9.547	0.00000000220274	226
648	chr1	8319145	8319969	.	124	.	7.56	14.15	0.0000000000000809388	235
651	chr1	8686346	8686874	.	170	.	19.175	18.044	1.34392e-17	195
651	chr1	8772665	8773184	.	138	.	11.097	9.711	0.00000000153818	390
653	chr1	8949983	8950372	.	113	.	4.994	9.878	0.00000000105856	198
653	chr1	8963708	8964623	.	185	.	22.771	85.708	0	446
653	chr1	8999547	8999975	.	150	.	14.082	9.918	0.00000000097064	244
654	chr1	9065105	9065658	.	124	.	7.66	24.656	4.85158e-24	268
654	chr1	9140589	9141275	.	137	.	11.011	28.721	5.09492e-28	347
654	chr1	9170660	9171265	.	119	.	6.449	34.402	1.40521e-33	263
656	chr1	9363011	9363435	.	113	.	4.944	8.805	0.0000000113306	235
657	chr1	9488846	9489324	.	105	.	2.858	9.588	0.00000000201239	231
657	chr1	9536856	9537528	.	202	.	27.122	42.987	5.25067e-42	303
659	chr1	9825884	9826219	.	135	.	10.384	9.192	0.00000000482741	147
660	chr1	9885174	9886067	.	117	.	5.922	24.571	5.8737e-24	573
661	chr1	10002645	10003592	.	104	.	2.686	9.232	0.00000000441926	744
665	chr1	10487980	10488582	.	190	.	24.178	79.93	0	261
669	chr1	11025885	11026320	.	119	.	6.392	12.507	0.00000000000312965	178
670	chr1	11194247	11195153	.	133	.	9.947	31.465	1.06093e-30	325
673	chr1	11544116	11544844	.	119	.	6.352	16.478	4.44226e-16	192
674	chr1	11713063	11713890	.	114	.	5.206	18.945	1.79636e-18	256
675	chr1	11850917	11851656	.	108	.	3.729	17.093	1.11924e-16	252
675	chr1	11862359	11863758	.	105	.	3.048	14.635	0.0000000000000274366	489
678	chr1	12192073	12193496	.	146	.	13.155	94.643	0	335
678	chr1	12203593	12204515	.	111	.	4.314	14.771	0.0000000000000202252	251
