#bin	chrom	chromStart	chromEnd	name	score	strand	signalValue	pValue	qValue	peak
589	chr1	566572	567104	.	1000	.	21.285	50.6625	48.124	195
589	chr1	567562	567592	.	382	.	158.329	3.03832	2.3596	15
589	chr1	569730	570123	.	1000	.	42.2039	34.0806	31.8766	196
591	chr1	822851	823080	.	378	.	4.44251	2.90414	2.24649	79
594	chr1	1280061	1280494	.	376	.	3.66683	2.83341	2.18879	293
597	chr1	1617650	1618028	.	412	.	4.75983	4.01982	3.20893	181
597	chr1	1672476	1672766	.	385	.	4.35184	3.14541	2.44989	112
601	chr1	2144043	2144750	.	390	.	2.67218	3.2942	2.57799	103
601	chr1	2187296	2187775	.	405	.	6.0555	3.78926	3.00897	88
602	chr1	2321798	2322263	.	449	.	3.72853	5.21657	4.27808	205
603	chr1	2425773	2426078	.	400	.	4.23096	3.6271	2.86488	137
609	chr1	3229777	3230071	.	382	.	3.80786	3.02728	2.35216	104
610	chr1	3398883	3399089	.	386	.	10.1543	3.18301	2.48303	117
611	chr1	3463879	3464238	.	388	.	3.9489	3.2243	2.51689	179
632	chr1	6176297	6176622	.	439	.	4.38481	4.90476	3.99711	161
632	chr1	6217801	6218156	.	405	.	2.8726	3.81396	3.02838	134
633	chr1	6294538	6294860	.	454	.	6.16512	5.37858	4.42354	137
634	chr1	6470438	6470728	.	385	.	4.35184	3.14541	2.44992	91
634	chr1	6532216	6532399	.	394	.	10.789	3.43853	2.69984	69
637	chr1	6855613	6856205	.	1000	.	8.61303	50.1071	47.5838	223
637	chr1	6860735	6861158	.	447	.	3.01456	5.12968	4.20027	249
638	chr1	7020450	7021053	.	426	.	2.32187	4.48476	3.62008	203
640	chr1	7325782	7326186	.	434	.	3.38477	4.72577	3.83612	157
641	chr1	7360866	7361449	.	492	.	2.62319	6.56603	5.50321	312
641	chr1	7395260	7395878	.	417	.	2.38925	4.17991	3.35117	172
641	chr1	7439370	7439824	.	445	.	3.17322	5.07279	4.14946	174
641	chr1	7440815	7441174	.	389	.	2.4328	3.26357	2.5527	177
641	chr1	7461840	7462685	.	572	.	2.6179	9.0387	7.78973	289
643	chr1	7609289	7609785	.	532	.	3.91824	7.80587	6.64212	262
646	chr1	8064618	8065592	.	452	.	2.12209	5.30549	4.36071	755
646	chr1	8077620	8078021	.	389	.	2.35725	3.2678	2.55515	232
646	chr1	8088050	8088787	.	438	.	2.2477	4.86639	3.9647	349
646	chr1	8100619	8101053	.	478	.	3.00398	6.13545	5.10997	195
646	chr1	8106102	8106512	.	389	.	2.4328	3.26357	2.55273	239
646	chr1	8107226	8108535	.	1000	.	4.11076	31.4756	29.3393	733
646	chr1	8116116	8116402	.	432	.	2.8432	4.66065	3.78081	139
647	chr1	8144113	8144122	.	382	.	16.5008	3.03832	2.35963	2
647	chr1	8151157	8151341	.	398	.	6.54614	3.57387	2.81817	107
647	chr1	8156255	8157122	.	905	.	4.01557	19.0568	17.3095	609
647	chr1	8157342	8157939	.	563	.	2.74628	8.74255	7.51466	346
647	chr1	8193734	8194357	.	459	.	2.68364	5.5296	4.56147	141
647	chr1	8197718	8198237	.	434	.	2.50231	4.72081	3.83263	237
647	chr1	8234422	8235134	.	510	.	3.43178	7.13579	6.02675	118
647	chr1	8241951	8243066	.	1000	.	3.82456	23.9977	22.0694	680
647	chr1	8254474	8254972	.	568	.	3.37268	8.91362	7.6726	301
648	chr1	8257656	8258118	.	543	.	3.62654	8.136	6.95105	197
648	chr1	8264461	8264968	.	422	.	2.29091	4.33809	3.49021	252
648	chr1	8271943	8272679	.	1000	.	6.32	36.3708	34.1146	240
648	chr1	8278860	8279089	.	380	.	3.96652	2.97831	2.30819	67
648	chr1	8284918	8285328	.	458	.	3.47384	5.49085	4.52495	195
648	chr1	8318936	8320090	.	664	.	2.84683	11.8499	10.4275	930
649	chr1	8454712	8455259	.	395	.	2.89115	3.46498	2.72435	452
651	chr1	8682039	8682235	.	385	.	4.65406	3.12098	2.43001	168
651	chr1	8685907	8686882	.	600	.	2.7433	9.89675	8.59404	591
651	chr1	8728215	8728592	.	438	.	2.71365	4.85833	3.95776	195
651	chr1	8761090	8761812	.	377	.	1.80008	2.87581	2.22582	525
652	chr1	8793581	8793892	.	394	.	2.59376	3.42244	2.68722	116
652	chr1	8802088	8802354	.	396	.	3.01456	3.5079	2.76267	165
652	chr1	8882813	8883168	.	438	.	2.71365	4.85833	3.9578	174
653	chr1	8933677	8934283	.	436	.	2.40839	4.78574	3.88972	234
653	chr1	8939505	8940761	.	484	.	2.16122	6.32861	5.28517	824
653	chr1	8949947	8950590	.	465	.	2.93249	5.72181	4.73447	161
653	chr1	8959929	8960367	.	1000	.	18.8701	51.0698	48.5235	222
653	chr1	8963768	8964334	.	594	.	3.49054	9.71649	8.42518	391
653	chr1	9034114	9034456	.	373	.	2.90123	2.73781	2.10731	143
654	chr1	9170665	9171166	.	514	.	2.89658	7.25228	6.13521	191
655	chr1	9223785	9224408	.	453	.	2.53857	5.34186	4.39233	483
655	chr1	9293525	9293635	.	379	.	13.4222	2.92998	2.26897	76
656	chr1	9349689	9350749	.	1000	.	4.93612	22.6915	20.8077	575
656	chr1	9363177	9363589	.	390	.	2.15074	3.31302	2.59439	144
657	chr1	9462006	9462190	.	394	.	10.789	3.43853	2.69987	105
657	chr1	9498843	9499025	.	371	.	4.56944	2.66318	2.04884	135
660	chr1	9884978	9885918	.	424	.	2.2283	4.42501	3.56787	748
663	chr1	10271493	10271868	.	431	.	3.49054	4.62796	3.75062	193
670	chr1	11194486	11194979	.	407	.	2.8559	3.87896	3.08415	371
674	chr1	11768745	11768996	.	399	.	4.44251	3.59494	2.83643	69
675	chr1	11796932	11797574	.	1000	.	6.02912	22.4317	20.5598	238
675	chr1	11850888	11851277	.	959	.	8.96435	20.6455	18.8408	191
676	chr1	11967815	11969235	.	824	.	2.76396	16.6531	14.996	633
676	chr1	11969668	11970254	.	693	.	5.30793	12.7216	11.2508	184
676	chr1	12039873	12040180	.	387	.	3.22204	3.20064	2.49619	131
677	chr1	12079235	12079578	.	874	.	24.4338	18.1398	16.4238	152
678	chr1	12192132	12192561	.	731	.	5.59641	13.855	12.3276	195
678	chr1	12193100	12193559	.	489	.	4.10652	6.4608	5.40553	194
680	chr1	12538260	12538728	.	453	.	2.78424	5.32902	4.38182	199
680	chr1	12540713	12541204	.	857	.	5.85825	17.6189	15.9255	197
681	chr1	12599791	12600165	.	373	.	2.61324	2.72105	2.09504	192
681	chr1	12633662	12634220	.	453	.	2.78424	5.32902	4.38187	269
681	chr1	12664275	12664699	.	634	.	4.46789	10.9351	9.56757	197
682	chr1	12805209	12805612	.	380	.	2.4282	2.9532	2.28787	193
704	chr1	15678593	15679298	.	471	.	2.80782	5.90585	4.90136	505
705	chr1	15786286	15786668	.	391	.	2.93523	3.32965	2.60964	213
705	chr1	15790741	15791192	.	1000	.	9.70633	24.3065	22.3682	237
705	chr1	15852595	15853333	.	412	.	2.13348	4.02387	3.21215	559
707	chr1	16007206	16007849	.	510	.	2.99693	7.13443	6.02597	193
707	chr1	16107176	16107475	.	385	.	2.60538	3.12602	2.43398	109
88	chr1	16121552	16122019	.	642	.	4.15801	11.1607	9.77791	262
708	chr1	16123147	16123664	.	749	.	5.07715	14.3996	12.8444	306
708	chr1	16126620	16127444	.	463	.	2.57031	5.6433	4.66173	166
708	chr1	16160684	16161264	.	377	.	2.024	2.85616	2.2083	141
708	chr1	16212203	16212951	.	401	.	1.94926	3.66702	2.89852	246
709	chr1	16279242	16279646	.	527	.	3.31653	7.64981	6.50008	206
710	chr1	16485375	16485972	.	501	.	2.8392	6.84456	5.76037	373
710	chr1	16509672	16509977	.	373	.	2.61324	2.72105	2.09506	126
711	chr1	16515416	16515854	.	380	.	2.47813	2.95222	2.28753	176
711	chr1	16575202	16575635	.	407	.	2.45104	3.88002	3.0843	224
712	chr1	16675303	16675681	.	407	.	2.45104	3.88002	3.08433	193
