chomossome 	 position1 	 position2 	 GenomeBrowser 	 mean 	 standart Devitation
chr1:	7360866	7361028	chr1:7360866-7361028	250	62.0
chr1:	7609289	7609069	chr1:7609069-7609289	292	30.5
chr1:	16126620	16126550	chr1:16126550-16126620	211	45.0
chr1:	33282923	33282564	chr1:33282564-33282923	282	183.5
chr1:	33283770	33282564	chr1:33282564-33283770	310	156.0
chr1:	42801491	42800590	chr1:42800590-42801491	262	50.0
chr1:	53480361	53480343	chr1:53480343-53480361	202	18.0
chr1:	59347121	59348746	chr1:59347121-59348746	225	44.0
chr1:	59348915	59348746	chr1:59348746-59348915	222	41.0
chr1:	91586063	91586718	chr1:91586063-91586718	274	108.5
chr1:	95111561	95111979	chr1:95111561-95111979	255	138.0
chr1:	95113744	95111979	chr1:95111979-95113744	157	40.0
chr1:	95538519	95538063	chr1:95538063-95538519	309	135.0
chr1:	101361011	101360328	chr1:101360328-101361011	387	65.0
chr1:	110950190	110949816	chr1:110949816-110950190	188	9.5
chr1:	114447165	114447166	chr1:114447165-114447166	705	33.0
chr1:	145507282	145507341	chr1:145507282-145507341	220	34.5
chr1:	151138343	151137667	chr1:151137667-151138343	276	65.5
chr1:	151371834	151371783	chr1:151371783-151371834	175	35.0
chr1:	153931093	153930894	chr1:153930894-153931093	212	85.5
chr1:	154944835	154946155	chr1:154944835-154946155	592	141.0
chr1:	154946036	154946155	chr1:154946036-154946155	448	285.0
chr1:	156163480	156163497	chr1:156163480-156163497	263	24.5
chr1:	156252589	156251864	chr1:156251864-156252589	176	21.0
chr1:	158119272	158119126	chr1:158119126-158119272	467	76.0
chr1:	159721769	159722006	chr1:159721769-159722006	286	103.5
chr1:	162106537	162106539	chr1:162106537-162106539	181	3.5
chr1:	168147708	168147806	chr1:168147708-168147806	280	28.0
chr1:	168270838	168271020	chr1:168270838-168271020	256	69.0
chr1:	171711259	171711002	chr1:171711002-171711259	434	179.0
chr1:	173683738	173683792	chr1:173683738-173683792	255	21.0
chr1:	178505929	178505810	chr1:178505810-178505929	616	430.0
chr1:	200411840	200411695	chr1:200411695-200411840	309	59.5
chr1:	200413077	200411695	chr1:200411695-200413077	265	104.0
chr1:	203830500	203830481	chr1:203830481-203830500	188	22.0
chr1:	235491537	235492014	chr1:235491537-235492014	142	65.0
chr2:	1597614	1599048	chr2:1597614-1599048	276	111.5
chr2:	9843225	9843569	chr2:9843225-9843569	575	189.5
chr2:	24299085	24298889	chr2:24298889-24299085	295	50.0
chr2:	26957982	26958816	chr2:26957982-26958816	233	90.5
chr2:	26959082	26958816	chr2:26958816-26959082	251	72.5
chr2:	32580974	32581685	chr2:32580974-32581685	344	219.0
chr2:	39665123	39665077	chr2:39665077-39665123	185	14.0
chr2:	39666957	39665077	chr2:39665077-39666957	161	37.5
chr2:	44398224	44396632	chr2:44396632-44398224	183	39.5
chr2:	61244102	61244074	chr2:61244074-61244102	411	268.5
chr2:	74681894	74681879	chr2:74681879-74681894	214	35.0
chr2:	97222532	97222555	chr2:97222532-97222555	270	8.5
chr2:	99797274	99797320	chr2:99797274-99797320	264	26.0
chr2:	136971712	136971407	chr2:136971407-136971712	282	84.0
chr2:	148778254	148777781	chr2:148777781-148778254	472	238.0
chr2:	151233147	151233154	chr2:151233147-151233154	197	16.0
chr2:	160372793	160372926	chr2:160372793-160372926	262	69.5
chr2:	162017320	162016334	chr2:162016334-162017320	369	239.5
chr2:	197466169	197466273	chr2:197466169-197466273	324	200.0
chr2:	207024072	207024099	chr2:207024072-207024099	260	164.5
chr2:	209130434	209130526	chr2:209130434-209130526	301	21.5
chr2:	231191688	231191624	chr2:231191624-231191688	166	109.5
chr3:	12883103	12882678	chr3:12882678-12883103	358	40.0
chr3:	15419730	15419474	chr3:15419474-15419730	284	89.5
chr3:	47018396	47017712	chr3:47017712-47018396	507	321.5
chr3:	52029824	52029563	chr3:52029563-52029824	251	115.0
chr3:	69191394	69192859	chr3:69191394-69192859	172	59.5
chr3:	69192800	69192859	chr3:69192800-69192859	207	24.5
chr3:	113463914	113464663	chr3:113463914-113464663	303	124.0
chr3:	114215723	114215745	chr3:114215723-114215745	263	23.0
chr3:	114217590	114215745	chr3:114215745-114217590	255	30.5
chr3:	122388233	122388235	chr3:122388233-122388235	133	33.5
chr3:	124847771	124847621	chr3:124847621-124847771	205	31.0
chr3:	124848459	124847621	chr3:124847621-124848459	202	34.0
chr3:	128881560	128879754	chr3:128879754-128881560	263	71.0
chr3:	150264371	150264206	chr3:150264206-150264371	379	39.0
