chromossome 	 position1 	 position2 	 position3 	 GenomeBrowser 	 mean 	 standart Devitation
chr1:	7609248	7609289	7609069	chr1:7609069-7609289	205	125.76
chr1:	7610987	7609289	7609069	chr1:7609069-7610987	204	127.61
chr1:	16125460	16126620	16126550	chr1:16125460-16126620	184	52.32
chr1:	33282534	33282923	33282564	chr1:33282534-33282923	203	187.04
chr1:	33282534	33283770	33282564	chr1:33282534-33283770	221	178.41
chr1:	59347067	59347121	59348746	chr1:59347067-59348746	159	99.13
chr1:	59347067	59348915	59348746	chr1:59347067-59348915	157	96.94
chr1:	91586538	91586063	91586718	chr1:91586063-91586718	203	134.43
chr1:	95111887	95111561	95111979	chr1:95111561-95111979	175	159.34
chr1:	95111887	95113744	95111979	chr1:95111887-95113744	110	74.06
chr1:	95113739	95113744	95111979	chr1:95111979-95113744	110	74.06
chr1:	101360169	101361011	101360328	chr1:101360169-101361011	264	181.41
chr1:	154945967	154944835	154946155	chr1:154944835-154946155	403	290.16
chr1:	154945967	154946036	154946155	chr1:154945967-154946155	307	305.84
chr1:	168147965	168147708	168147806	chr1:168147708-168147965	204	109.88
chr1:	168270811	168270838	168271020	chr1:168270811-168271020	181	119.27
chr2:	1597365	1597614	1599048	chr2:1597365-1599048	192	149.48
chr2:	9842864	9843225	9843569	chr2:9842864-9843569	401	291.27
chr2:	26957900	26957982	26958816	chr2:26957900-26958816	168	118.49
chr2:	26957900	26959082	26958816	chr2:26957900-26959082	180	117.17
chr2:	32581542	32580974	32581685	chr2:32580974-32581685	239	232.43
chr2:	151232990	151233147	151233154	chr2:151232990-151233154	141	79.34
chr3:	187672646	187672503	187672843	chr3:187672503-187672843	427	310.23
chr3:	194053594	194053731	194053263	chr3:194053263-194053731	280	174.18
chr4:	190861230	190862850	190861394	chr4:190861230-190862850	225	262.96
chr5:	1799840	1800059	1801151	chr5:1799840-1801151	213	104.06
chr5:	78907714	78907816	78907804	chr5:78907714-78907816	203	189.8
chr5:	134469519	134471436	134469562	chr5:134469519-134471436	199	107.71
chr5:	137515902	137514239	137514161	chr5:137514161-137515902	306	204.74
chr5:	137515902	137515843	137514161	chr5:137514161-137515902	252	187.87
chr5:	141210486	141211822	141211721	chr5:141210486-141211822	99	69.14
chr5:	141212494	141211822	141211721	chr5:141211721-141212494	102	65.27
chr5:	141212494	141212599	141211721	chr5:141211721-141212599	133	74.72
chr5:	168026556	168027401	168027395	chr5:168026556-168027401	158	35.98
chr5:	176249069	176250250	176250113	chr5:176249069-176250250	116	122.92
chr6:	10403565	10403161	10404656	chr6:10403161-10404656	367	336.95
chr6:	16683794	16683750	16683956	chr6:16683750-16683956	214	159.44
chr6:	26537469	26537420	26538235	chr6:26537420-26538235	414	281.71
chr6:	44021760	44020208	44021434	chr6:44020208-44021760	345	235.28
chr6:	44021760	44021906	44021434	chr6:44021434-44021906	357	231.48
chr6:	44021760	44022717	44021434	chr6:44021434-44022717	322	246.05
chr6:	52379211	52379186	52379260	chr6:52379186-52379260	193	118.56
chr7:	36087702	36087699	36088500	chr7:36087699-36088500	132	77.86
chr7:	44678607	44677602	44679354	chr7:44677602-44679354	191	69.68
chr7:	44678607	44678760	44679354	chr7:44678607-44679354	357	258.3
